列名	＃	データ・タイプ	身元	Collation	ヌルでない	デフォルト	コメント
record_id	1	varchar(2)	[NULL]	default	false	[NULL]	レコード種別ID
data_kubun	2	varchar(1)	[NULL]	default	false	[NULL]	データ区分
data_sakusei_nengappi	3	varchar(8)	[NULL]	default	false	[NULL]	データ作成年月日
kaisai_nen	4	varchar(4)	[NULL]	default	true	[NULL]	開催年
kaisai_tsukihi	5	varchar(4)	[NULL]	default	true	[NULL]	開催月日
keibajo_code	6	varchar(2)	[NULL]	default	true	[NULL]	競馬場コード
kaisai_kai	7	varchar(2)	[NULL]	default	false	[NULL]	開催回[第N回]
kaisai_nichime	8	varchar(2)	[NULL]	default	false	[NULL]	開催日目[N日目]
race_bango	9	varchar(2)	[NULL]	default	true	[NULL]	レース番号
ketto_toroku_bango	10	varchar(10)	[NULL]	default	true	[NULL]	血統登録番号
bamei	11	varchar(36)	[NULL]	default	false	[NULL]	馬名
heichi_honshokin_ruikei	12	varchar(9)	[NULL]	default	false	[NULL]	平地本賞金累計
shogai_honshokin_ruikei	13	varchar(9)	[NULL]	default	false	[NULL]	障害本賞金累計
heichi_fukashokin_ruikei	14	varchar(9)	[NULL]	default	false	[NULL]	平地付加賞金累計
shogai_fukashokin_ruikei	15	varchar(9)	[NULL]	default	false	[NULL]	障害付加賞金累計
heichi_shutokushokin_ruikei	16	varchar(9)	[NULL]	default	false	[NULL]	平地収得賞金累計
shogai_shutokushokin_ruikei	17	varchar(9)	[NULL]	default	false	[NULL]	障害収得賞金累計
sogo	18	varchar(18)	[NULL]	default	false	[NULL]	総合着回数
chuo_gokei	19	varchar(18)	[NULL]	default	false	[NULL]	中央合計着回数
shiba_choku	20	varchar(18)	[NULL]	default	false	[NULL]	芝直・着回数
shiba_migi	21	varchar(18)	[NULL]	default	false	[NULL]	芝右・着回数
shiba_hidari	22	varchar(18)	[NULL]	default	false	[NULL]	芝左・着回数
dirt_choku	23	varchar(18)	[NULL]	default	false	[NULL]	ダ直・着回数
dirt_migi	24	varchar(18)	[NULL]	default	false	[NULL]	ダ右・着回数
dirt_hidari	25	varchar(18)	[NULL]	default	false	[NULL]	ダ左・着回数
shogai	26	varchar(18)	[NULL]	default	false	[NULL]	障害・着回数
